Designator,Footprint,Quantity,Value,LCSC Part #
C18,0402,1,1u,C52923
C24,0402,1,100n,C1525
"CN1, CN2",CONN-TH_XT30PB-M,2,XT30(2+2)PB-M.G.B,C19268029
CN3,CONN-SMD_BM08B-GHS-TBT-LF-SN,1,BM08B-GHS-TBT(LF)(SN)_C133062,C133062
"CN5, CN6",CONN-SMD_10P-P1.25_XUNPU_WAFER-GH1.25-10PLB,2,WAFER-GH1.25-10PLB,C3029376
D5,0603,1,WHITE,C2290
D7,0603,1,GREEN,C2297
J3,PinHeader_1x02_P2.00mm_Vertical,1,~,
J4,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02_Socket,
J5,PinHeader_1x01_P1.27mm_Vertical,1,Conn_01x02_Socket,
"J7, J8",PinHeader_1x08_P1.27mm_Vertical,2,Conn_01x08_Socket,
R5,0402,1,10k,C25744
"R7, R9",0402,2,20k,C25765
U5,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047D,C962063
