Designator,Mid X,Mid Y,Rotation,Layer
C1,129.2,-88.32,90.0,top
C10,156.6,-93.2,270.0,top
C11,152.9,-92.9,270.0,top
C12,156.6,-91.4,90.0,top
C14,150.6,-92.8,180.0,top
C15,155.7,-89.7,180.0,top
C16,123.5,-91.4,0.0,top
C17,123.5,-90.2,180.0,top
C18,144.4,-95.8,90.0,top
C2,128.2,-88.6,90.0,top
C20,142.8,-108.6,180.0,top
C21,150.4,-107.0,0.0,top
C22,144.2,-108.2,90.0,top
C23,142.8,-107.6,0.0,top
C24,139.7,-106.3,0.0,top
C26,150.4,-116.6,0.0,top
C27,150.4,-115.6,0.0,top
C28,136.0,-111.6,90.0,top
C29,142.5,-113.6,90.0,top
C3,139.2,-90.4,0.0,top
C30,137.8,-102.8,0.0,top
C33,133.8,-105.7,270.0,top
C34,130.4,-103.0,0.0,top
C35,132.2,-103.0,180.0,top
C36,141.1,-105.8,270.0,top
C37,135.8,-108.4,90.0,top
C38,129.0,-109.2,90.0,top
C4,136.8,-98.2,270.0,top
C5,126.6,-96.0,270.0,top
C6,126.4,-94.0,180.0,top
C7,123.5,-95.0,180.0,top
C8,151.2,-98.0,0.0,top
C9,150.6,-94.8,180.0,top
D1,152.45,-109.75,270.0,top
D3,125.0,-110.2,0.0,top
D4,149.4,-97.2,90.0,top
D5,137.7,-89.0,180.0,top
D6,152.1,-91.2,180.0,top
D7,155.3,-110.0,0.0,top
H1,124.4,-106.8,90.0,top
H2,155.4,-98.8,90.0,top
H3,155.4,-106.8,90.0,top
H4,124.4,-98.8,90.0,top
H5,138.5,-116.5,270.0,top
H6,142.8,-116.5,270.0,top
H9,147.0,-116.5,270.0,top
J2,132.4,-114.8,0.0,top
J3,154.8,-102.8,270.0,top
J4,125.2,-102.8,90.0,top
J6,133.6,-85.2,180.0,top
JP2,132.2,-108.6,0.0,bottom
JP3,132.2,-106.2,180.0,bottom
JP4,132.2,-109.8,0.0,bottom
JP5,132.2,-107.4,0.0,bottom
JP6,130.0,-100.0,270.0,bottom
JP7,131.6,-100.0,270.0,bottom
L1,125.2,-96.0,270.0,top
L2,154.2,-95.0,0.0,top
PS1,132.4,-109.2,0.0,top
R1,123.5,-96.0,0.0,top
R11,141.0,-92.2,90.0,top
R12,145.0,-111.0,270.0,top
R13,142.9,-111.0,270.0,top
R14,147.2,-90.0,0.0,top
R15,143.2,-90.0,180.0,top
R16,140.0,-92.2,90.0,top
R17,139.0,-92.2,90.0,top
R18,153.2,-89.0,180.0,top
R22,142.0,-97.4,90.0,top
R24,141.2,-100.2,270.0,top
R25,137.8,-106.3,180.0,top
R26,135.9,-106.3,0.0,top
R3,153.2,-90.0,0.0,top
R30,141.0,-97.4,90.0,top
R4,151.6,-89.4,270.0,top
R5,137.8,-98.2,270.0,top
R6,151.2,-96.6,0.0,top
R7,155.3,-108.8,0.0,top
R8,139.7,-88.9,270.0,top
SW1,124.05,-90.5,270.0,bottom
SW2,124.075,-95.3,270.0,bottom
U1,154.8,-92.2,90.0,top
U10,131.4,-101.0,90.0,top
U12,131.4,-105.28,90.0,top
U2,146.84,-96.55,180.0,top
U3,146.8,-102.8,270.0,top
U4,133.0,-93.5,270.0,top
U5,140.0,-100.0,180.0,bottom
U7,148.5,-111.0,180.0,top
U8,139.2,-111.0,180.0,top
USB2,145.4,-86.1,180.0,top
X1,126.1,-91.2,90.0,top
